City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Country,Date
60,Tura,25.5198,90.2201,72.28,98,95,4.09,overcast clouds,IN,2022-05-16 23:33:24
61,Sitka,57.0531,-135.33,48.09,66,100,5.75,overcast clouds,US,2022-05-16 23:33:25
62,Meadow Lake,34.8014,-106.5436,92.32,9,50,23.44,scattered clouds,US,2022-05-16 23:33:26
63,Hofn,64.2539,-15.2082,46.78,91,8,11.63,clear sky,IS,2022-05-16 23:33:27
64,Lagoa,39.05,-27.9833,56.89,61,9,28.81,clear sky,PT,2022-05-16 23:33:27
65,Indija,20.0,77.0,88.02,30,2,2.1,clear sky,IN,2022-05-16 23:33:28
66,Heihe,50.2441,127.4902,48.78,42,76,12.84,broken clouds,CN,2022-05-16 23:33:29
67,Coffs Harbour,-30.3,153.1333,67.96,73,86,11.5,overcast clouds,AU,2022-05-16 23:33:30
68,Victoria,22.2855,114.1577,70.25,82,81,8.01,broken clouds,HK,2022-05-16 23:29:43
69,Kahului,20.8947,-156.47,87.82,40,40,17.27,scattered clouds,US,2022-05-16 23:33:31
70,Provideniya,64.3833,-173.3,32.36,80,0,4.47,clear sky,RU,2022-05-16 23:33:31
71,Elko,41.0002,-115.5012,78.82,16,29,18.99,scattered clouds,US,2022-05-16 23:33:32
72,La Romana,18.4273,-68.9728,80.96,78,20,5.75,few clouds,DO,2022-05-16 23:33:33
73,Westport,41.1415,-73.3579,67.62,93,100,5.75,thunderstorm,US,2022-05-16 23:33:34
74,Tiarei,-17.5333,-149.3333,86.02,70,46,16.37,scattered clouds,PF,2022-05-16 23:28:45
75,Saint-Pierre,-21.3393,55.4781,71.28,83,75,6.91,broken clouds,RE,2022-05-16 23:33:35
76,Vardo,70.3705,31.1107,33.78,86,100,12.66,overcast clouds,NO,2022-05-16 23:33:35
77,Ilulissat,69.2167,-51.1,30.22,64,20,2.3,few clouds,GL,2022-05-16 23:33:36
78,Mackay,-21.15,149.2,79.68,76,6,12.33,clear sky,AU,2022-05-16 23:33:37
79,Santa Ines,-3.6667,-45.38,75.13,94,97,2.53,overcast clouds,BR,2022-05-16 23:32:21
80,Davila,18.4726,120.5763,80.58,69,83,2.33,broken clouds,PH,2022-05-16 23:33:38
81,Atar,20.5169,-13.0499,92.66,13,100,9.26,overcast clouds,MR,2022-05-16 23:33:39
82,Thompson,55.7435,-97.8558,51.96,32,20,11.5,few clouds,CA,2022-05-16 23:33:40
83,Castro,-24.7911,-50.0119,46.36,76,3,7.54,clear sky,BR,2022-05-16 23:33:40
84,Cabo San Lucas,22.8909,-109.9124,90.7,39,75,11.5,broken clouds,MX,2022-05-16 23:31:01
85,Roald,62.5833,6.1333,48.76,81,0,20.71,clear sky,NO,2022-05-16 23:33:42
86,Bluff,-46.6,168.3333,54.81,81,100,24.56,light rain,NZ,2022-05-16 23:33:43
87,Ribeira Grande,38.5167,-28.7,58.05,62,70,26.02,broken clouds,PT,2022-05-16 23:33:44
88,Aklavik,68.2191,-135.0107,32.63,83,51,14.03,broken clouds,CA,2022-05-16 23:33:44
89,Tautira,-17.7333,-149.15,81.27,71,40,16.37,scattered clouds,PF,2022-05-16 23:33:45
90,Komsomolskiy,40.4272,71.7189,63.32,67,58,2.3,broken clouds,UZ,2022-05-16 23:33:46
91,Los Llanos De Aridane,28.6585,-17.9182,64.15,85,0,3.44,clear sky,ES,2022-05-16 23:33:47
92,Hithadhoo,-0.6,73.0833,84.18,69,96,18.3,overcast clouds,MV,2022-05-16 23:33:58
93,Tuktoyaktuk,69.4541,-133.0374,33.8,80,100,9.22,overcast clouds,CA,2022-05-16 23:33:59
94,Arraial Do Cabo,-22.9661,-42.0278,71.83,81,100,7.05,overcast clouds,BR,2022-05-16 23:33:59
